conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,product
1802853578664751591,Mon Jun 17 23:59:23 +0000 2024,0,07.00 WIB Hindari Menggunakan Handphone Saat Mengemudi #JM_Tertib_Berlalulintas_2024,1802853580753477926,,PTJASAMARGA,in,DKI Jakarta,0,0,0,https://x.com/PTJASAMARGA/status/1802853580753477926,540625251,PTJASAMARGA,handphone
1802850787082870873,Mon Jun 17 23:48:17 +0000 2024,0,Mulai merasa ini handphone gede bener sampe bisa jadi talenan.,1802850787082870873,,,in,"Kagawa-ken, Japan",0,0,0,https://x.com/hanfa13/status/1802850787082870873,99755941,hanfa13,handphone
1802849560449929651,Mon Jun 17 23:43:25 +0000 2024,0,idenya konu bgt astagaa asal bapak tau notifikasi yg paling jarang aku buka (dan mungkin orang lain juga) itu notifikasi sms. boro-boro di baca ini notifikasinya di handphone aku aja sampai numpuk ginii https://t.co/VT4DcT2OKB,1802849560449929651,https://pbs.twimg.com/media/GQUCHxJaAAEZHgf.jpg,,in,"Nusa Tenggara Barat, Indonesia",0,0,0,https://x.com/nsyahrainn/status/1802849560449929651,2998990542,nsyahrainn,handphone
1797576344915914908,Mon Jun 17 23:42:34 +0000 2024,0,@iam_de98 Halo @iam_de98. Jika yang kamu maksud kendala tidak terima kode OTP pastikan kamu menggunakan nomor handphone dan jaringan internet dari nomor handphone yang terdaftar untuk myBCA tersedia pulsa reguler minimal Rp1.000 - dan pastikan jaringan stabil tidak ada (1/2) ^Enzy,1802849345857003837,,iam_de98,in,,0,0,0,https://x.com/GoodLifeBCA/status/1802849345857003837,17824435,GoodLifeBCA,handphone
1802848194679701910,Mon Jun 17 23:37:59 +0000 2024,0,Gantungan Handphone Gantungan Headset Bluetooth dengan harga Rp7.900. Yuk dibelii https://t.co/AGXziBQ33X https://t.co/odJWH56qBS,1802848194679701910,https://pbs.twimg.com/media/GQUA31ObgAAlDtb.jpg,,in,Indonesia,0,0,0,https://x.com/ceweseungch/status/1802848194679701910,1792917934408355840,ceweseungch,handphone
1802846065022112156,Mon Jun 17 23:29:32 +0000 2024,0,06.30 WIB Hindari Menggunakan Handphone Saat Mengemudi #JM_Tertib_Berlalulintas_2024,1802846067475853501,,PTJASAMARGA,in,DKI Jakarta,0,0,0,https://x.com/PTJASAMARGA/status/1802846067475853501,540625251,PTJASAMARGA,handphone
1802844625377415191,Mon Jun 17 23:23:48 +0000 2024,0,saya tdak pahm sama sekali aplikasi tambahan yang dimaksud sistem aplikasi saya di handphone semuanya download dari playstore aplikasi resmi semua tolonglah perbaiki sistemnya jangan banyak merugikan driver yang kerja jujur. https://t.co/ibJWqYpQsX,1802844625377415191,https://pbs.twimg.com/media/GQT9oY8akAAayzg.jpg,,in,"Jakarta Timur, DKI Jakarta",0,0,0,https://x.com/Irfan03904591/status/1802844625377415191,1313365990369972226,Irfan03904591,handphone
1802838683483271593,Mon Jun 17 23:00:12 +0000 2024,0,06.00 WIB Hindari Menggunakan Handphone Saat Mengemudi #JM_Tertib_Berlalulintas_2024,1802838686553329723,,PTJASAMARGA,in,DKI Jakarta,0,0,0,https://x.com/PTJASAMARGA/status/1802838686553329723,540625251,PTJASAMARGA,handphone
1802837592855253242,Mon Jun 17 22:55:51 +0000 2024,1,Jual Flexible Board Samsung A920 - A9 2018 - Konektor Board Handphone Spesifikasi : Flexible Board atau Konektor Board Handphone Samsung A920 - A9 2018. GRATIS Packing Kardus + Buble Wrap + *Lainnya (menyesuaikan order). Barang seperti di Foto iklan. https://t.co/mkwsJ3VDK6,1802837592855253242,https://pbs.twimg.com/media/GQT3MhjacAAMvhb.jpg,,in,"Sidoarjo, Indonesia",0,8,0,https://x.com/StarNeo_Store/status/1802837592855253242,1538745334398341120,StarNeo_Store,handphone
1802818239954837862,Mon Jun 17 21:39:06 +0000 2024,0,Case Handphone Motif Sketsa Hati Untuk IPhone 12 13 11 : https://t.co/Bi08RWg05G https://t.co/xeyaLG4QO6,1802818274495021432,https://pbs.twimg.com/media/GQTlpJWbcAA5-ir.jpg,BlanjaMurahYuk,in,,0,1,0,https://x.com/BlanjaMurahYuk/status/1802818274495021432,1563366426341040129,BlanjaMurahYuk,handphone
1802702216668880905,Mon Jun 17 19:27:00 +0000 2024,0,@hiinsky Pagi Kak maaf ya jadi gak nyaman. Kami sarankan coba aktifkan mode pesawat 1-2 menit atau restart Hp lalu lock jaringan ke 4G/LTE terlebih dahulu. Bisa juga pindahkan SIM card ke handphone lain ya Kak. Thanks ^Kai,1802785031108059480,,hiinsky,in,Indonesia,0,1,0,https://x.com/3CareIndonesia/status/1802785031108059480,1068065299214163968,3CareIndonesia,handphone
1802757948902609239,Mon Jun 17 17:39:23 +0000 2024,0,Cek Gantungan Handphone Gantungan Headset Bluetooth Gantungan Kunci Gantungan Tas Aksesoris Liontin Dengan Mutiara dengan harga Rp7.900. Dapatkan di Shopee sekarang! https://t.co/WpKG0JWvzG https://t.co/M8SpU5cpMB,1802757948902609239,https://pbs.twimg.com/media/GQSuy9jaIAAji8k.jpg,,in,,0,0,0,https://x.com/PutriLesta66551/status/1802757948902609239,1740429586348007424,PutriLesta66551,handphone
1802701253170147498,Mon Jun 17 17:21:18 +0000 2024,0,@_minjoee3112 oh i mmg tegur je sbb i bayar mahal nk tgok hanbin bukan handphone die ,1802753397478862906,,_minjoee3112,in,Malaysia,0,0,0,https://x.com/missDVIP92/status/1802753397478862906,50172064,missDVIP92,handphone
1802752172150726726,Mon Jun 17 17:16:26 +0000 2024,109,rebahan main handphone kamar dingin colokan deket kasur adalah salah satu bukti bahwa nyaman bisa dibentuk sendiri gak harus dari orang lain.,1802752172150726726,,,in,,0,3,35,https://x.com/jejakrasa___/status/1802752172150726726,1618530799049125890,jejakrasa___,handphone
1802746497479680050,Mon Jun 17 16:53:53 +0000 2024,0,semoga yg buat chaos psl exo harini tak tenang tidur malam esok pagi bangun handphone tak on plug masa caj dan segalanya yg buruk sbb tak habis2 nk jatuhkan this group gn ,1802746497479680050,,,in,EX9,0,0,0,https://x.com/soobaeeeeri/status/1802746497479680050,1039426009869639680,soobaeeeeri,handphone
1802746414700851677,Mon Jun 17 16:53:33 +0000 2024,0,Semenjak dua menjak @wan_himaa ganti hp dia makin tau fungsi kamera belakang di handphone. (Karna biasanya dia emg langsung fotoin pake kamera keburu pose duluan ),1802746414700851677,,,in,"Tokyo-to, Japan",0,1,0,https://x.com/nathnnia/status/1802746414700851677,1557647394,nathnnia,handphone
1802743490704777398,Mon Jun 17 16:44:22 +0000 2024,0,@____renata_ meletakkan SIM card m-BCA pada slot utama dan pastikan tidak mengganti-ganti slot utama yang digunakan untuk nomor handphone m-BCA agar tidak terjadi respons yang sama. Mohon dapat melakukan verifikasi ulang aplikasi BCA mobile dengan mengakses icon (i) (di pojok (2/3) ^Dares,1802744104771821948,,____renata_,in,Jakarta - Indonesia,0,0,0,https://x.com/HaloBCA/status/1802744104771821948,620977821,HaloBCA,handphone
1802743490704777398,Mon Jun 17 16:44:22 +0000 2024,0,@____renata_ Sangat disayangkan atas kendala yang Ibu @____renata_ alami. Untuk kendala tersebut mohon memastikan kembali bahwa BCA mobile Ibu benar terhubung dengan SIM card nomor handphone yang telah didaftarkan m-BCA jika menggunakan handphone dengan dual SIM card mohon (1/3) ^Dares,1802744103396053072,,____renata_,in,Jakarta - Indonesia,0,0,0,https://x.com/HaloBCA/status/1802744103396053072,620977821,HaloBCA,handphone
1802762604487868809,Mon Jun 17 17:57:53 +0000 2024,0,ga waras. anw first dpt bonus cek khodam gratis khodam kamu kabel USB type c,1802762604487868809,,,in,tanyakan dora,0,1,0,https://x.com/delightfulrain/status/1802762604487868809,1146688297671901184,delightfulrain,
1802688838911013267,Mon Jun 17 17:56:58 +0000 2024,0,@RandomWorldWar @yusufabd05 @kulimain @muhammad_r Yg pake kabel bukan? ,1802762372903477428,,RandomWorldWar,in,,0,1,0,https://x.com/aditya_bp/status/1802762372903477428,137306133,aditya_bp,
1802761586375066046,Mon Jun 17 17:53:50 +0000 2024,0,been questioning this kenapa kabel aifon sering bgt rusaknya bzier sedihh https://t.co/jRt7kD9QtK,1802761586375066046,https://pbs.twimg.com/media/GQSyGr9aEAANWJy.jpg,,in,,0,0,0,https://x.com/nadineiputri/status/1802761586375066046,1177972694064590848,nadineiputri,
1802759402379976895,Mon Jun 17 17:45:09 +0000 2024,0,Mbulet koyo benang bundet kabel pating srawutttt... https://t.co/jvo7VGvHaI,1802759402379976895,https://pbs.twimg.com/media/GQSwH5JbIAASdoE.jpg,,in,"London, England",0,0,0,https://x.com/penoahmd/status/1802759402379976895,1660680984457809926,penoahmd,
1802752571079274643,Mon Jun 17 17:18:01 +0000 2024,0,Temukan dan dapatkan MIXIO MP-06 WIRELESS POWER BANK 10000MAH MAGNETIC MAGSAFE 20W FAST CHARGING TYPE C PD BUILD IN KABEL hanya Rp348.000 di Shopee sekarang juga! https://t.co/957nJ4cjXe #ShopeeID https://t.co/FyqkkQQouz,1802752571079274643,https://pbs.twimg.com/media/GQSp6N3aAAA1JU9.jpg,,in,"Lampung Tengah, Lampung",0,0,0,https://x.com/UdienB/status/1802752571079274643,1036089157,UdienB,
1802747388077187354,Mon Jun 17 16:57:25 +0000 2024,0,Terima kasih kabel LAN ,1802747388077187354,,,in,Pacilian's 24,1,2,0,https://x.com/baiqhaqii/status/1802747388077187354,1650881329037471744,baiqhaqii,
1802741825935188422,Mon Jun 17 16:56:28 +0000 2024,0,@eblouissanth Kak Bella beneran w putus sambungan kabel wifi mu ya kak ,1802747147403800703,,eblouissanth,in,"Maranello, Emilia Romagna",0,0,0,https://x.com/duatigakura/status/1802747147403800703,1456288490140811270,duatigakura,
1802747092399792379,Mon Jun 17 16:56:14 +0000 2024,0,Perkara workdesk di rumah biar rapih minimum kabel audio speaker mouse dan keyboard gaming semuanya diganti ke wireless yang harganya lumayan Udah kemarin kena musibah duitnya diambil jenius 500k ketambahan service mobil abis 3jt pula. Mona ngess,1802747092399792379,,,in,,0,0,0,https://x.com/raayien15/status/1802747092399792379,91723515,raayien15,
1802739073540333777,Mon Jun 17 16:47:36 +0000 2024,0,@ossazuu @ossazuu Maaf nih Kak jadi ganggu aktivitasnya. Pastikan kabel patch cord sudah terpasang/tertancap dengan benar pada modemnya. Mimin bantu tindak lanjut yuk infoin ke DM nomor internet atas nama dan alamat. -Yulio,1802744917355335945,,ossazuu,in,Indonesia,0,1,0,https://x.com/IndiHomeCare/status/1802744917355335945,765035200896118789,IndiHomeCare,
1802741616815312941,Mon Jun 17 16:34:29 +0000 2024,0,WTS (want to sell) Kabel data type c / tipe C KKV fast charging Alasan dijual karena kurang kompatibel sama hp ku. Masih ada struknya buat garansi 7 hari yaaa. Aku beli 50k ku jual 40k ajaa. Dom solo bisa bgt cod https://t.co/XGd4JaP5Sk,1802741616815312941,https://pbs.twimg.com/media/GQSf8J_a8AAvFeS.jpg,,in,,0,0,0,https://x.com/meinetwt/status/1802741616815312941,1240561536239693824,meinetwt,
1802025566696300580,Mon Jun 17 16:22:45 +0000 2024,0,@recehtapisayng Ojok sejuta UMR malah kdng mek nyisa 1 jt buat pegangan hidup sebulan iku pun lek bener2 rejeki lek gak yo mesti onok2 ae sing ban bocor lah pdam bocor motor rewel sing moro2 iuran opo onok temen kena musibah headset ilang kabel soak duh gusti mugo rejeki ngalir deres.,1802738663182471465,,recehtapisayng,in,,0,0,0,https://x.com/amysyara/status/1802738663182471465,1250093318257520641,amysyara,
1799314846913290431,Mon Jun 17 16:21:29 +0000 2024,0,@82leeknow Iyaa tapi gulunc kabel dulu ya cil,1802738345900228907,,82leeknow,in,HANBIENC,0,0,0,https://x.com/soijin/status/1802738345900228907,2757649829,soijin,
1802738323682918638,Mon Jun 17 16:21:24 +0000 2024,0,TAI BANGET KABEL OTG GW ADA YG NYURI GABISA GAMBAR PAKE PENTABB,1802738323682918638,,,in,they/she,0,0,0,https://x.com/gunwookunsoed/status/1802738323682918638,1186633747354935297,gunwookunsoed,
1802736855533941119,Mon Jun 17 16:18:58 +0000 2024,0,DIEM ATAU AKU GUNTING KABEL WIFI KAMU https://t.co/bSI9cY9gDt,1802737711805276303,https://pbs.twimg.com/ext_tw_video_thumb/1802737701168590848/pu/img/GvwniC5FCj00r-rK.jpg,ohmymy333,in,‘98 ✮⋆˙ 쥬큐♡,1,0,0,https://x.com/ohmymy333/status/1802737711805276303,1523937290262749185,ohmymy333,
1802736000436957539,Mon Jun 17 16:12:10 +0000 2024,1,mati lampu terus yaa rumah gua anjir belum ada sebulan udh 3/4x mati lampu tolong dong @pln_123 kalau ada masalah di kabel/gardu nya tolong segera diperbaiki kalau iya grgr kebakaran kemarin. mati nya selalu di jam 8-10/11 malam jam2 tidur nih kasian yg besok kerja,1802736000436957539,,,in,,0,2,0,https://x.com/14markvals/status/1802736000436957539,1242360351355617280,14markvals,
1802732966298447918,Mon Jun 17 16:00:06 +0000 2024,2,wts want to sale haechan kabel set 250rb -udah ada di oren bisa langsung co -tanya condi bolee banget -biaa pakek svidio : sacesterz #ncthaechan #photocard #haechankabel https://t.co/UWvNtl5Qkj,1802732966298447918,https://pbs.twimg.com/media/GQSYEtbaQAErRHw.jpg,,in,,1,0,0,https://x.com/leaaeleaa/status/1802732966298447918,1715662584739975168,leaaeleaa,
1802727335999000807,Mon Jun 17 15:58:53 +0000 2024,0,@SEULXl Yang gulung kabel juga gapapa sih kak,1802732657006280967,,SEULXl,in,Jaehyuk.  |   2001.. ༊,0,0,0,https://x.com/Rhujiny/status/1802732657006280967,1694129761,Rhujiny,
1802698302628176375,Mon Jun 17 15:56:25 +0000 2024,0,@Bbong19_ Gulung kabel dulu kali yeeee,1802732036022829259,,Bbong19_,in,,0,0,0,https://x.com/dhe_tyan/status/1802732036022829259,246787888,dhe_tyan,
1802731841256038406,Mon Jun 17 15:55:38 +0000 2024,0,wts / sell / jual iPhone XR 64 GB (Black) - ex ibox (belum pernah dibongkar/service) - normal semua (face id buttons) - no dent / scaratch (mint cond.) - battery health 76% - dus isi lengkap + kabel ori bawaan buka harga di 4 2 juta. COD tangsel jakarta raya. DM please https://t.co/u83d53xSfQ,1802731841256038406,https://pbs.twimg.com/media/GQSWdTabkAA6H-v.jpg,,in,,0,3,1,https://x.com/giannino_/status/1802731841256038406,188799359,giannino_,
